"","subsection","response","est_hb_unit","cov_hb_unit","est_hb_area","cov_hb_area","est_freq_unit","cov_freq_unit","est_freq_area","cov_freq_area","est_dirmean","cov_dirmean"
"1","313Ca","BIOLIVE_TPA",3.53855279974495,0.0563065371915723,3.19252774646464,0.322202027315497,3.57741171147857,0.050371905532111,0.675641378652217,0.224035260983593,0.671700559386973,0.210097026857867
"2","313An","BIOLIVE_TPA",4.68136859506033,0.285332802894989,1.80289109417948,0.0360291248681795,4.76542307328366,0.109974379301953,3.31901719502198,0.226075681304314,3.39222834117647,0.214532373165633
"3","313Db","BIOLIVE_TPA",2.39132545801296,0.0445030013371262,1.68148749532846,0.128533629085314,2.40121731553017,0.00438803659141565,0.888110943741691,0.100011637243222,0.886841831905782,0.10429052035571
"4","313Bp","BIOLIVE_TPA",21.4445153899941,0.915332290400986,17.5791036847295,0.0584353960443605,21.5192879811575,0.0487371133197759,22.146235104625,0.101719146131959,20.3934186176471,0.114093695148514
"5","313Aj","BIOLIVE_TPA",17.1659656694075,0.426427464165499,14.2385916061542,0.0807047083496132,17.2254053530023,0.108536395837557,12.1659219320633,0.0722190682729984,11.9601729423077,0.0756661002803044
"6","313Ac","BIOLIVE_TPA",8.13392815722056,0.0370489049094486,5.60336017849059,0.0659616234681153,8.14711634057785,0.0514742959789697,5.7774178615524,0.110934636811887,5.75872714341847,0.1092006880651
"7","313Ba","BIOLIVE_TPA",17.268260461322,0.0869438859224957,11.811909397621,0.060450604474117,17.2758502384521,0.632303993271488,13.0714272509076,0.090151503867227,13.2461222044728,0.09683765896068
"8","313Ai","BIOLIVE_TPA",14.094426264478,0.108428931906503,8.93235072138495,0.0852511775382267,14.1264865001056,0.0933684568480515,6.917551867252,0.0854507376369787,7.10288329126214,0.0945250139580742
"9","313At","BIOLIVE_TPA",6.62535009873975,0.0901718614259693,5.00032634654298,0.13991198869546,6.78959356802314,0.045644214869849,2.43046026471064,0.233803625279946,2.42277296078431,0.24028360090697
"10","313Ad","BIOLIVE_TPA",4.02152833370339,1.46276483179945,3.3146993367461,0.219547307414533,4.08927579027258,0.0185486840377534,1.03124113347423,0.223237179964302,1.02349405517241,0.226742524936817
"11","313Ab","BIOLIVE_TPA",5.77369637803648,0.752150461409776,4.07611055216993,0.0938965293886497,5.79431748694966,0.082889351549844,2.94929319713798,0.119915107566894,2.9428336443299,0.115259940290724
"12","313Ag","BIOLIVE_TPA",10.5090221628685,0.430690680685312,7.06193652009579,0.051065239223575,10.7226900819132,0.854121857886432,9.43736253546002,0.150949152517251,9.37492359259259,0.17616975306538
"13","313Ao","BIOLIVE_TPA",5.12008609869464,0.165629459036174,3.11119124377447,0.067065457492407,5.15640846939036,0.0981361901372282,3.15212073235982,0.27219512497643,3.14482957142857,0.266214952290779
"14","313Ar","BIOLIVE_TPA",28.4527605612824,0.202114439974283,12.7814282583846,0.0334552545727451,28.1631687371255,0.519972480338584,17.9341939065228,0.170006026693449,25.8990805294118,0.161148778737858
"15","313Am","BIOLIVE_TPA",1.63772091802889,0.0804762482549175,1.19844141577788,0.153629393469593,1.68283705803891,0.0113163421295433,0.532713001791181,0.273552090432655,0.528824772532189,0.275185116782964
"16","313Df","BIOLIVE_TPA",30.9243299054873,0.0607162049561642,15.8105152842265,0.0533781506824651,30.5439297937249,0.134143954808876,14.0628231546872,0.170045950164409,20.079449375,0.119074168447259
"17","313Da","BIOLIVE_TPA",1.1865879550882,0.0123126649328957,0.859439107271537,0.0956177061752489,1.21866166667336,0.00608363687963371,0.61868212537036,0.316157769805561,0.609320919642857,0.344104418423818
"18","313Dc","BIOLIVE_TPA",12.6564710165695,0.354599026294671,10.2445367731384,0.112174416399708,12.7419879089207,0.16052343352049,6.24782535016342,0.165434102982332,6.19109980487805,0.169169095272724
"19","313Cd","BIOLIVE_TPA",15.9230419889874,0.0285697560929794,9.56298629746516,0.0687267539103094,15.9226936112572,0.281703584632298,9.28466060640365,0.0546642615551832,9.43272123333333,0.0572443476782532
"20","313Cc","BIOLIVE_TPA",9.04140351014277,0.764483677801911,6.43784215893343,0.122395058440463,9.05227895538805,0.0337329303545383,3.54604865314682,0.116373484607703,3.5657076993865,0.123638797255638
"21","313Bo","BIOLIVE_TPA",7.40256082456307,0.0799385830258854,7.44735901552351,0.111581221634917,7.41275874461294,0.00738874323302141,4.55188006693035,0.0545005053014329,4.52460297511312,0.0526966921965817
"22","313Ae","BIOLIVE_TPA",7.31472104565862,0.0403037431555147,7.32227124404666,0.277122198356485,7.39748225568948,0.038385793705656,1.82935662581111,0.183668313158381,1.791198824,0.197529460896859
"23","313Bs","BIOLIVE_TPA",4.62541998853322,0.240421228278923,5.20770531491897,0.171455590298617,4.85114802890701,0.122827704135739,2.19642528954127,0.268906188940084,2.05903652,0.271220750578134
"24","313Ak","BIOLIVE_TPA",1.68879804784977,0.0301463260499555,1.68514482256172,0.25845722358985,1.7579470766648,0.0835759985260091,0.446858579384943,0.318722135476957,0.44199550625,0.307443502572362
"25","313Ah","BIOLIVE_TPA",10.7275003114325,0.234999438039686,7.61840188141636,0.101114126144413,10.7483786619582,0.368859092588291,5.07823351590051,0.0932013208485692,5.10765251879699,0.0976990482608429
"26","313As","BIOLIVE_TPA",33.4181853604248,1.9729731674784,16.945324820131,0.0332573105683374,33.0962141810492,0.628056872886934,27.8263991199659,0.140910029921801,34.5407744117647,0.135502571979312
