"","subsection","response","estimator","estimate","cov","section","province"
"66","313Am","BIOLIVE_TPA","dirps",0.393911315368844,0.23971120610445,"313A","313"
"67","313An","BIOLIVE_TPA","hb_unit",4.68137186545663,0.285324444850956,"313A","313"
"68","313An","BIOLIVE_TPA","hb_area",1.84900245920319,0.0382009996010581,"313A","313"
"69","313An","BIOLIVE_TPA","freq_unit",4.76542307328366,0.183935956755745,"313A","313"
"70","313An","BIOLIVE_TPA","freq_area",2.70151101631687,0.164058134910621,"313A","313"
"71","313An","BIOLIVE_TPA","dirmean",3.39222834117647,0.214532373165633,"313A","313"
"72","313An","BIOLIVE_TPA","dirps",2.83337110701334,0.167425477051073,"313A","313"
"73","313Ao","BIOLIVE_TPA","hb_unit",5.1200865898468,0.165624546096815,"313A","313"
"74","313Ao","BIOLIVE_TPA","hb_area",3.19076414507916,0.0711082360253195,"313A","313"
"75","313Ao","BIOLIVE_TPA","freq_unit",5.15640846939036,0.218224075266727,"313A","313"
"76","313Ao","BIOLIVE_TPA","freq_area",3.35618514289767,0.212350545313674,"313A","313"
"77","313Ao","BIOLIVE_TPA","dirmean",3.14482957142857,0.266214952290779,"313A","313"
"78","313Ao","BIOLIVE_TPA","dirps",3.47633013979319,0.218910949464956,"313A","313"
"79","313Ap","BIOLIVE_TPA","hb_unit",8.76267197209054,0.0458782555430115,"313A","313"
"80","313Ap","BIOLIVE_TPA","hb_area",5.28073140154469,0.0564989045815691,"313A","313"
"81","313Ap","BIOLIVE_TPA","freq_unit",8.78002158829754,0.061830236276229,"313A","313"
"82","313Ap","BIOLIVE_TPA","freq_area",6.21108673344587,0.064443828921768,"313A","313"
"83","313Ap","BIOLIVE_TPA","dirmean",6.55052890184049,0.0849761280084205,"313A","313"
"84","313Ap","BIOLIVE_TPA","dirps",6.26807646062274,0.0652269274132016,"313A","313"
"85","313Aq","BIOLIVE_TPA","hb_unit",9.42941776152866,0.0778907685803854,"313A","313"
"86","313Aq","BIOLIVE_TPA","hb_area",4.66492354084577,0.0515593990827899,"313A","313"
"87","313Aq","BIOLIVE_TPA","freq_unit",9.44415927595782,0.0898738343200397,"313A","313"
"88","313Aq","BIOLIVE_TPA","freq_area",6.38042422730318,0.0767527079315304,"313A","313"
